id,overall_quality_of_services_3_01,overall_quality_of_services_3_02,overall_appearance_of_durham_3_03,overall_management_of_develo_3_04,overall_image_of_durham_3_05,overall_quality_of_life_in_d_3_06,overall_quality_of_life_in_y_3_07,overall_value_you_receive_fo_3_08,do_your_monthly_housing_cost_12_01,are_you_able_to_find_housing_12_02,do_you_have_major_home_repai_12_03,ease_of_travel_by_walking_18_01,ease_of_travel_by_biking_18_02,ease_of_travel_by_bus_godu_18_03,quality_of_downtown_parking_18_04,the_ability_in_your_neighbo_18_05,as_a_place_to_live_24_01,as_a_place_to_work_24_02,as_a_place_to_play_24_03,as_a_place_to_raise_childre_24_04,as_a_place_to_educate_child_24_05,as_a_place_to_retire_24_06,as_a_place_to_visit_24_07,as_a_place_to_start_a_busin_24_08,as_a_community_that_is_movi_24_09,have_you_or_someone_in_your_househol_26,approximately_how_many_years_have_yo_28,what_is_your_age_29,what_is_your_gender_30,do_you_own_or_rent_your_current_resi_31,asianpacific_islander_32_01,white_32_02,native_americaninuit_32_03,blackafrican_american_32_04,other_32_05,please_define_other_32_5,are_you_of_hispanic_latino_or_spa_33,primary_language,please_define_other_34_3,how_might_we_better_provide_service_34a,would_you_say_your_total_annual_hous_35,city,state,zip,pac_zone,inside_city_of_durham,block_lon,block_lat
22,4,4,2,2,3,3,5,3,1,1,2,3,NA,NA,2,3,4,NA,3,NA,2,3,3,NA,4,2,5,5,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,1,Durham,NC,27703,1,Y,-78782000,35936000
23,4,4,4,4,5,5,4,3,2,1,2,2,1,NA,4,4,5,4,4,NA,NA,3,4,3,4,2,5,1,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27704,2,Y,-78917000,36059000
24,4,4,3,2,2,3,3,3,2,1,2,NA,NA,NA,3,5,5,5,4,NA,NA,4,4,5,5,2,37,4,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27704,2,Y,-78895000,36072000
25,4,4,4,4,4,4,4,3,NA,NA,NA,2,2,3,2,2,4,4,4,4,4,4,4,4,4,2,25,2,1,1,NA,NA,NA,NA,5,MIXED,1,Spanish,NA,NA,3,Durham,NC,27703,1,Y,-78868000,35999000
26,4,4,5,NA,4,4,5,5,2,1,1,NA,NA,NA,NA,5,5,5,5,5,4,NA,5,5,5,2,0,1,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27713,3,Y,-78931000,35930000
27,3,3,2,3,3,3,3,2,2,1,2,1,3,2,1,3,3,3,3,3,4,3,4,3,3,1,21,2,1,1,1,NA,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27703,1,Y,-78801000,35980000
28,4,4,3,3,3,3,2,3,2,NA,1,NA,NA,NA,2,1,4,4,2,2,2,1,1,4,4,1,6,2,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27703,1,Y,-78846000,35992000
29,3,3,2,3,3,3,2,4,2,1,2,2,NA,NA,3,2,3,5,3,NA,NA,3,4,NA,NA,2,5,1,2,1,NA,2,NA,NA,NA,NA,1,English,NA,NA,3,Durham,NC,27703,1,Y,-78811000,36007000
30,1,1,3,2,2,2,5,1,1,2,1,1,2,NA,1,4,2,4,3,2,2,3,4,5,2,1,28,1,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Durham,NC,27707,3,Y,-78949000,35960000
31,4,4,4,4,4,4,4,4,2,1,2,3,3,3,4,5,4,4,4,NA,NA,3,4,4,4,2,8,1,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Durham,NC,27712,NA,N,-78895000,36095000
32,2,3,4,2,3,2,4,2,2,1,1,2,NA,NA,2,2,1,4,2,1,1,2,3,2,1,2,14,2,2,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,1,Durham,NC,27703,4,Y,-78845000,35939000
33,4,4,4,4,4,4,4,4,2,1,2,4,3,NA,4,5,4,4,4,4,3,NA,4,4,4,2,5,1,1,1,NA,2,NA,NA,NA,NA,1,English,NA,NA,4,Durham,NC,27704,2,Y,-78891000,36016000
34,1,3,1,1,1,1,4,3,2,1,2,NA,NA,NA,3,5,1,3,3,1,1,2,1,1,1,2,50,3,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27712,NA,N,-78960000,36103000
35,2,2,4,NA,1,2,3,1,2,1,2,4,4,NA,NA,4,4,5,4,3,2,4,4,3,1,2,52,3,1,1,NA,NA,NA,NA,5,MORE THAN ONE,2,English,NA,NA,NA,Durham,NC,27704,NA,N,-78770000,36018000
36,NA,1,4,3,4,4,4,3,NA,NA,NA,NA,NA,NA,3,4,4,5,4,4,4,4,4,3,3,2,48,5,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27704,NA,N,-78802000,36052000
37,4,4,3,4,4,4,5,4,2,2,2,2,4,3,4,5,4,4,4,4,3,5,5,4,4,2,43,4,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27712,NA,N,-78968000,36067000
38,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,4,4,4,4,2,4,4,4,3,2,6,1,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27703,NA,N,-78755000,35931000
39,4,4,4,2,NA,4,5,3,2,1,2,4,2,NA,3,4,4,4,4,4,4,4,4,4,4,2,47,4,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,3,Durham,NC,27705,2,Y,-78915000,36011000
40,4,4,4,2,5,5,4,4,2,1,2,5,4,NA,4,4,5,5,5,NA,NA,5,5,5,2,2,25,4,1,2,NA,2,NA,NA,NA,NA,1,English,NA,NA,2,Durham,NC,27701,2,Y,-78898000,36013000
41,3,3,2,3,1,3,4,2,2,1,2,2,1,NA,2,5,2,NA,1,1,1,1,3,2,1,2,7,1,2,1,NA,NA,NA,NA,5,NA,2,English,NA,NA,4,Durham,NC,27703,NA,N,-78758000,35926000
42,1,1,1,3,3,3,1,3,1,2,1,3,NA,3,1,1,2,2,1,1,1,1,2,1,1,2,26,1,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27701,1,Y,-78887000,35994000
43,4,4,4,4,3,3,4,3,2,1,2,2,3,3,4,4,4,4,4,2,2,2,3,3,3,2,5,1,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27703,1,Y,-78804000,35960000
44,4,4,4,4,4,4,4,3,2,1,2,NA,NA,NA,4,4,4,4,4,4,2,4,4,4,4,2,7,1,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27703,1,Y,-78833000,35957000
45,3,3,2,1,4,3,2,3,1,2,1,2,2,NA,3,1,4,4,4,NA,4,3,5,4,4,2,2,1,1,2,NA,NA,NA,4,NA,NA,1,English,NA,NA,3,Durham,NC,27703,1,Y,-78874000,35993000
46,2,2,4,4,4,4,2,2,1,2,2,2,2,NA,4,2,4,2,4,2,2,4,2,NA,2,2,49,4,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27703,1,Y,-78881000,35992000
47,4,3,3,3,3,3,2,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,57,4,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27701,4,Y,-78888000,35970000
48,4,4,5,2,4,1,3,2,1,2,1,5,4,5,5,5,2,1,4,4,4,2,5,3,5,1,4,4,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27707,4,Y,-78902000,35973000
49,4,4,4,2,4,4,4,4,2,1,1,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,2,31,2,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27713,4,Y,-78924000,35894000
50,4,4,2,2,2,5,4,3,1,2,1,NA,NA,NA,NA,NA,5,5,3,3,5,5,5,3,3,2,39,3,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27703,1,Y,-78883000,35990000
51,3,3,1,3,1,3,3,NA,2,1,2,3,NA,NA,1,3,3,3,3,3,3,3,3,3,3,2,11,NA,2,2,NA,NA,3,4,NA,NA,2,English,NA,NA,3,Durham,NC,27703,NA,N,-78812000,35993000
52,3,4,1,1,1,1,1,2,2,2,2,NA,NA,NA,1,3,4,NA,1,3,3,3,3,3,2,2,77,5,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Durham,NC,27704,NA,N,-78884000,36064000
53,4,4,4,3,4,4,4,3,1,1,1,4,NA,5,4,4,4,4,4,4,5,4,4,4,5,1,NA,NA,2,2,1,NA,NA,NA,NA,NA,2,English,NA,NA,1,Durham,NC,27704,1,Y,-78823000,36027000
54,4,4,3,3,2,2,4,4,NA,1,2,NA,NA,NA,4,4,4,4,3,4,4,3,4,3,3,2,40,2,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Rougemont,NC,27572,NA,N,-78850000,36183000
55,2,3,4,4,4,2,2,2,1,1,1,4,4,3,3,3,2,3,2,2,2,2,3,3,3,1,13,4,1,2,NA,NA,NA,NA,5,Hispanic,1,English,NA,NA,2,Durham,NC,27703,1,Y,-78805000,35965000
56,1,1,1,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,NA,3,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27712,NA,N,-78938000,36129000
57,4,4,4,4,4,4,4,4,2,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,5,2,10,1,2,2,NA,2,NA,NA,NA,NA,1,English,NA,NA,3,Durham,NC,27713,3,Y,-78936000,35917000
58,1,1,1,1,1,1,3,1,NA,2,1,1,5,1,3,4,1,1,1,1,1,1,1,1,1,1,17,3,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Bahama,NC,27503,NA,N,-78861000,36145000
59,5,5,3,3,3,NA,5,3,1,1,2,3,3,3,3,3,4,3,4,5,5,5,5,5,5,2,26,5,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27704,NA,N,-78881000,36062000
